FarmSize,FarmPrice
70,122136
37,125095
193,143561
174,158979
102,158786
63,125467
176,169566
98,139081
25,106150
50,124450
55,120489
6,61610
78,120862
31,107156
84,136516
180,154434
89,156556
16,104476
69,151649
93,140325
198,139865
114,156635
94,141674
76,139558
81,130892
194,130899
111,148953
139,149242
108,138051
160,169908
127,148956
162,151086
26,107050
185,166355
2,71107
41,124026
148,143257
3,89284
44,139632
91,124028
173,135531
75,128342
21,112638
5,81350
155,158451
88,139679
66,146374
177,144983
99,141471
121,146367
40,111217
60,143568
124,167231
90,139251
184,159170
7,81007
53,121987
199,155306
101,127541
17,116235
158,149081
145,145398
46,121777
142,132533
11,101464
23,103487
175,161507
82,141723
42,127771
12,77942
187,174151
45,130471
168,149885
122,151472
72,137535
80,131247
4,81368
120,144034
154,158273
125,145048
95,141694
27,137923
189,145191
123,143421
181,155037
169,127368
29,124820
143,150100
165,150876
126,146238
