rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id
1,T-Series,Music,India,2006.0,Mar,13.0,UCq-Fj5jknLsUf-MWSy4_brA
2,YouTube Movies,Film & Animation,United States,2006.0,Mar,5.0,UClgRkhTL3_hImCAmdLfDE4g
3,MrBeast,Entertainment,United States,2012.0,Feb,20.0,UCX6OQ3DkcsbYNE6H8uQQuVA
4,Cocomelon - Nursery Rhymes,Education,United States,2006.0,Sep,1.0,UCbCmjCuTUZos6Inko4u57UQ
5,SET India,Shows,India,2006.0,Sep,20.0,UCpEhnqL0y41EpW2TvWAHD7Q
6,Music,,,2013.0,Sep,24.0,UCWf8ejg2TN9-FAdzLN10qXQ
7,ýýý Kids Diana Show,People & Blogs,United States,2015.0,May,12.0,UCk8GzjMOrta8yxDcKfylJYw
8,PewDiePie,Gaming,Japan,2010.0,Apr,29.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw
9,Like Nastya,People & Blogs,Russia,2016.0,Jan,14.0,UCJplp5SjeGSdVdwsfb9Q7lQ
10,Vlad and Niki,Entertainment,United States,2018.0,Apr,23.0,UCvlE5gTbOvjiolFlEm-c_Ow
11,Zee Music Company,Music,India,2014.0,Mar,12.0,UCFFbwnve3yF62-tVXkTyHqg
12,WWE,Sports,United States,2007.0,May,11.0,UCJ5v_MCY6GNUBTO8-D3XoAg
13,Gaming,,,2013.0,Dec,15.0,UCOpNcN46UbXVtpKMrmU4Abg
14,BLACKPINK,People & Blogs,South Korea,2016.0,Jun,29.0,UCOmHUn--16B90oW2L6FRR3A
15,Goldmines,Film & Animation,,2006.0,Aug,15.0,UCyoXW-Dse7fURq30EWl_CUA
16,Sony SAB,Shows,India,2007.0,Aug,4.0,UC6-F5tO8uklgE9Zy8IvbdFw
17,5-Minute Crafts,Howto & Style,United Kingdom,2020.0,Jul,27.0,UC295-Dw_tDNtZXFeAPAW6Aw
18,BANGTANTV,Music,South Korea,2012.0,Dec,17.0,UCLkAepWjdylmXSltofFvsYQ
19,Sports,,United States,2006.0,Jan,30.0,UCja8sZ2T4ylIqjggA1Zuukg
20,Justin Bieber,Music,Canada,2007.0,Jan,15.0,UCIwFjwMjI0y7PDBVEO9-bkQ
21,HYBE LABELS,Music,South Korea,2008.0,Jun,4.0,UC3IZKseVpdzPSBaWxBxundA
22,Zee TV,Entertainment,India,2005.0,Dec,11.0,UCppHT7SZKKvar4Oc9J4oljQ
23,Pinkfong Baby Shark - Kids' Songs & Stories,Education,United States,2011.0,Dec,14.0,UCcdwLMPsaU2ezNSJU1nFoBQ
24,Canal KondZilla,Music,Brazil,2012.0,Mar,21.0,UCffDXn7ycAzwL2LDlbyWOTw
25,ChuChu TV Nursery Rhymes & Kids Songs,Education,India,2013.0,Feb,9.0,UCBnZ16ahKA2DZ_T5W0FPUXg
26,Shemaroo Filmi Gaane,Music,India,2010.0,Jun,11.0,UCP6uH_XlsxrXwZQ4DlqbqPg
27,Colors TV,Shows,India,2008.0,Jun,13.0,UC55IWqFLDH1Xp7iu1_xknRA
28,T-Series Bhakti Sagar,Music,India,2018.0,Aug,3.0,UCaayLD9i5x4MmIoVZxXSv_g
29,Dude Perfect,Sports,United States,2009.0,Mar,17.0,UCRijo3ddMTht_IHyNSNXpNQ
30,Movieclips,Film & Animation,United States,2006.0,Apr,28.0,UC3gNmTGu-TTbFPpfSs5kNkg
31,Tips Official,Music,India,2007.0,May,22.0,UCJrDMFOdv1I2k8n9oK_V21w
32,El Reino Infantil,Music,Argentina,2011.0,Jun,2.0,UCK1i2UviaXLUNrZlAFpw_jA
33,Wave Music,Music,India,2014.0,Oct,29.0,UCbuK8xxu2P_sqoMnDsoBrrg
34,Aaj Tak,News & Politics,India,2009.0,Aug,27.0,UCt4t-jeY85JegMlZ-E5UWtA
35,Sony Music India,Music,India,2009.0,Sep,2.0,UC56gTxNs4f9xZ7Pa2i5xNzg
36,EminemMusic,Music,United States,2007.0,Feb,9.0,UCfM3zsQsOnfWNUppiycmBuw
37,Marshmello,Entertainment,United States,2015.0,Apr,6.0,UCEdvpU2pFRCVqU6yIPyTpMQ
38,YRF,Film & Animation,India,2006.0,Jun,7.0,UCbTLwN10NoCU4WDzLf1JMOA
39,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,,2016.0,Nov,29.0,UC4NALVCmcmL5ntpV0thoH6w
40,Ed Sheeran,Music,United Kingdom,2006.0,Aug,8.0,UC0C-w0YjGpqDXGB8IHb662A
41,Infobells - Hindi,Education,India,2014.0,Jun,6.0,UC1ciY6kR3yj3kaKZ6R7ewAg
42,Taylor Swift,Music,United States,2006.0,Sep,20.0,UCqECaJ8Gagnn7YCbPEzWH6g
43,Ariana Grande,Music,United States,2007.0,Jan,22.0,UC9CoOnJkIBMdeijd9qYoT_g
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,United States,2013.0,Oct,25.0,UCRx3mKNUdl8QE06nEug7p6Q
45,JuegaGerman,Gaming,Chile,2013.0,May,19.0,UCYiGq8XF7YQD00x7wAd62Zg
46,Billie Eilish,Music,United States,2013.0,Feb,6.0,UCiGm_E4ZwYSHV3bcW1pnSeQ
47,Get Movies,Entertainment,Russia,2006.0,Dec,16.0,UClZkHt2kNIgyrTTPnSQV3SA
48,Shemaroo,Entertainment,India,2007.0,Sep,1.0,UCF1JIbMUs6uqoZEY1Haw0GQ
49,Badabun,Entertainment,,2007.0,Jul,21.0,UCYWOjHweP2V-8kGKmmAmQJQ
50,SonyMusicIndiaVEVO,Music,United States,2009.0,Sep,2.0,UC3MLnJtqc_phABBriLRhtgQ
51,A4,Gaming,Cuba,2006.0,Mar,11.0,UC2tsySbe9TNrI-xh2lximHA
52,Bad Bunny,Music,,2005.0,Nov,15.0,UCiY3z8HAGD6BlSNKVn2kSvQ
53,Fernanfloo,Gaming,El Salvador,2011.0,May,2.0,UCV4xOVpbcV8SdueDCOxLXtQ
54,Voot Kids,Entertainment,India,2016.0,Nov,23.0,UC0h7UYqTk7yrs4fEmszdHug
55,Felipe Neto,Entertainment,Brazil,2006.0,May,16.0,UCV306eHqgo0LvBf3Mh36AHg
57,HAR PAL GEO,Entertainment,Pakistan,2008.0,Jan,2.0,UCe9JSDmyqNgA_l2BzGHq1Ug
58,BRIGHT SIDE,Howto & Style,,2005.0,Nov,18.0,UC4rlAVgAK0SGk-yTfe48Qpw
59,Katy Perry,Music,United States,2008.0,Jun,1.0,UCYvmuw-JtVrTZQ-7Y4kd63Q
60,whinderssonnunes,Comedy,Brazil,2013.0,Jan,21.0,UC3KQ5GWANYF8lChqjZpXsQw
61,ABS-CBN Entertainment,People & Blogs,Philippines,2008.0,Jul,16.0,UCstEtN0pgOmCf02EdXsGChw
62,Alan Walker,Music,Thailand,2006.0,May,12.0,UCJrOtniJ0-NWz37R30urifQ
63,HolaSoyGerman.,Entertainment,,2016.0,May,27.0,UCZJ7m7EnCNodqnu5SAtg8eQ
64,Shakira,People & Blogs,Colombia,2005.0,Oct,16.0,UCYLNGLIzMhRTi6ZOLjAPSmw
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,Film & Animation,Russia,2011.0,May,31.0,UCZLl7vfqlRjVL4YBHGmLVvQ
66,ARY Digital HD,Entertainment,Pakistan,2016.0,Jul,11.0,UC4JCksJF76g_MdzPVBJoC3Q
67,Speed Records,Music,India,2012.0,Nov,22.0,UCOsyDsO5tIt-VZ1iwjdQmew
68,Masha and The Bear,Shows,United States,2014.0,Sep,17.0,UCu59yAFE8fM0sVNTipR4edw
69,Like Nastya Show,Entertainment,United States,2017.0,Nov,14.0,UCS94J1s6-qc8v7btCdS2pNg
70,Rihanna,Entertainment,Barbados,2005.0,Nov,6.0,UCcgqSM4YEo5vVQpqwN-MaNw
71,Ishtar Music,Trailers,India,2005.0,Sep,22.0,UCWi_65E_L8tQZ34C6wVAlpQ
72,Kimberly Loaiza,People & Blogs,Mexico,2016.0,Nov,16.0,UCQZfFRohQ7UX-0CdXl-6pwQ
73,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,United States,2011.0,Jun,22.0,UCKAqou7V9FAWXpZd9xtOg3Q
74,Luisito Comunica,Comedy,Mexico,2010.0,Jun,18.0,UCECJDeK0MNapZbpaOzxrUPA
75,elrubiusOMG,Gaming,,2011.0,Dec,20.0,UCXazgXDIYyWH-yXLAkcrFxw
76,Toys and Colors,Entertainment,,2018.0,Jun,14.0,UCgFXm4TI8htWmCyJ6cVPG_A
77,shfa2 - ï¿½ï¿½,People & Blogs,United Arab Emirates,2017.0,Nov,6.0,UCQ7x25F6YXY9DvGeHFxLhRQ
78,LUCCAS NETO - LUCCAS TOON,People & Blogs,,2021.0,Mar,25.0,UC_gV70G_Y51LTa3qhu8KiEA
79,CarryMinati,Comedy,India,2014.0,Oct,30.0,UCj22tfcQrWG7EMEKS0qLeEg
80,XXXTENTACION,Music,United States,2015.0,Jun,23.0,UCM9r1xn6s30OnlJWb-jc3Sw
81,Super Simple Songs - Kids Songs,Education,Canada,2006.0,Sep,8.0,UCLsooMJoIpl_7ux2jvdPB-Q
82,Mikecrack,Gaming,Spain,2015.0,Jul,13.0,UCqJ5zFEED1hWs0KNQCQuYdQ
83,WorkpointOfficial,Entertainment,Thailand,2012.0,Nov,5.0,UC3ZkCd7XtUREnjjt3cyY_gg
84,GR6 EXPLODE,Music,Brazil,2014.0,Aug,5.0,UCNUQK9mQoqi4yNXw2_Rj6SA
85,TEDx Talks,Nonprofits & Activism,United States,2009.0,Jun,23.0,UCsT0YIqwnpJCM-mx7-gSA4Q
86,shfa,People & Blogs,Saudi Arabia,2018.0,May,24.0,UCwHE1kM1CPJd_pI9FQ0-4dg
