rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id,Total Views,Subscriber Count,Hidden Subscriber Count,Video Count,Recent Video 1 Title,Recent Video 1 URL,Recent Video 2 Title,Recent Video 2 URL,Recent Video 3 Title,Recent Video 3 URL,Recent Video 4 Title,Recent Video 4 URL,Recent Video 5 Title,Recent Video 5 URL
1,T-Series,Music,India,2006.0,Mar,13.0,UCq-Fj5jknLsUf-MWSy4_brA,307068036713,300000000,False,24088,DUM DUM (Behind The Scenes): Ft. Jacqueline Fernandez | Jaani | Asees Kaur | Bunny | Bhushan Kumar,https://www.youtube.com/watch?v=AvN5eTWcmH0,SON OF SARDAAR 2: Rabba Sanu | Ajay Devgn | Mrunal Thakur | Sunny Vik | Vikas M | Khara,https://www.youtube.com/watch?v=V4OjxoSeIN0,Rangeen: Keeve Keeve - Vineet Kumar Singh #YTShortsIndia,https://www.youtube.com/watch?v=7ZAKCMESdpk,"Ye Tune Kya Kiya (DnB Remix): Akshay Kumar, Imran Khan, Sonakshi Sinha | Javed B | Pritam | DIGVIJAY",https://www.youtube.com/watch?v=GIoj4tODLUw,Maa💕 - A Blessing That Never Fades | Tulsi Kumar | Payal Dev | Manoj Muntashir,https://www.youtube.com/watch?v=DcKJ2j0Sgbk
2,YouTube Movies,Film & Animation,United States,2006.0,Mar,5.0,UClgRkhTL3_hImCAmdLfDE4g,0,191000000,False,0,,,,,,,,,,
3,MrBeast,Entertainment,United States,2012.0,Feb,20.0,UCX6OQ3DkcsbYNE6H8uQQuVA,92592953875,419000000,False,892,Guess What Hit You,https://www.youtube.com/watch?v=qXW93Cois2s,$1  = One Year of Clean Water,https://www.youtube.com/watch?v=r7f0L48dHpc,"2,000,000 People Get Clean Water For The First Time!",https://www.youtube.com/watch?v=Z4hVGCWH1Kc,"Don’t Turn Around, Win $10k",https://www.youtube.com/watch?v=zxuICI0kL3s,Subscribe To Explode The TNT,https://www.youtube.com/watch?v=R1SFXJo-FlE
4,Cocomelon - Nursery Rhymes,Education,United States,2006.0,Sep,1.0,UCbCmjCuTUZos6Inko4u57UQ,206096953425,196000000,False,1652,Creating a Cardboard Melonhead! 😲 #cocomelon #kids #crafts,https://www.youtube.com/watch?v=64DzKhM-TqA,The Muffin Man! Super Hero Rescue 🦸 | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=KLfXETqLCiM,Wash Your hand With us! 🫧👏🫧 Tutorial for Kids,https://www.youtube.com/watch?v=YFCIBqBYJ5w,Fishing for ABCs 🎣 #cocomelon #shorts,https://www.youtube.com/watch?v=30ftjZ9CIEU,Making Mini Origami Characters 😍 Cute Kids Crafts,https://www.youtube.com/watch?v=AYBVdnSsewE
5,SET India,Shows,India,2006.0,Sep,20.0,UCpEhnqL0y41EpW2TvWAHD7Q,180240899978,185000000,False,158177,Pihu की आवाज़ में 'Ladki Badi Anjani' सुनकर Vicky को मिला सुकून | Superstar Singer 3 | Voice Of Pihu,https://www.youtube.com/watch?v=KxZUF7dhna0,Bade Achhe Lagte Hai - New Season - Ep 39 - Coming Up Next - बड़े अच्छे लगते हैं - नया सीजन,https://www.youtube.com/watch?v=I2MOFiDazO4,NEW! Bade Achhe Lagte Hai | New Season | Ep 30 | 25 July 2025 | Teaser,https://www.youtube.com/watch?v=X1XPzyqURzM,एक औरत की Greed ने तबाह की पूरी Family की ज़िन्दगी | Crime Patrol Satark | Khatarnak Kisse,https://www.youtube.com/watch?v=4VSVgzRYjnI,Bhagyashree Ne Purab Ko Kaha Gunda | Bade Achhe Lagte Hai | New Season | #badeachhelagtehai,https://www.youtube.com/watch?v=8GuxcKu8Tv0
6,Music,,,2013.0,Sep,24.0,UCWf8ejg2TN9-FAdzLN10qXQ,50697088,186000,False,870,「無廣告版」一杯茶一本書 ❤ 舒服音樂陪我度過一整天 ~ TEA & BOOK ❤ RELAX MUSIC FOR STUDYING & WORKING,https://www.youtube.com/watch?v=WQl1C3xBhKo,「無廣告版」淡淡純鋼琴～享受讀書 & 工作的時間 ❤ Beautiful Relax Music for Studying & Working,https://www.youtube.com/watch?v=b_YcUd8Voj0,[無廣告版] 放鬆＆專心讀書. 工作音樂   5Hrs  RELAXING SOLO GUITAR  - STUDY MUSIC,https://www.youtube.com/watch?v=gcf174yIp8s,「無廣告版」一個人靜靜聽音樂～唯美鋼琴讀書音樂 - Music For Studying - Beautiful Piano,https://www.youtube.com/watch?v=Q_aifkbPnH8,「無廣告版」把大自然帶進家中~ 森林系音樂 ☕ 純淨鋼琴讀書＆工作音樂 Relax Piano ＆ forest nature ambience,https://www.youtube.com/watch?v=5r00dfnyW3g
7,ýýý Kids Diana Show,People & Blogs,United States,2015.0,May,12.0,UCk8GzjMOrta8yxDcKfylJYw,117881327356,136000000,False,1400,Magic Washing Machine Makes Balloons!,https://www.youtube.com/watch?v=sjulCb53A1E,Oliver at the Safari! Fun & Educational Adventures for Kids,https://www.youtube.com/watch?v=uCYJVRupJ9k,Oliver Forgot to Turn Off the Hose! 💧🌸 Diana Teaches a Lesson,https://www.youtube.com/watch?v=NxrkqlOE1L4,Kids Learn Good Habits — Mobile Phone Jail Adventure,https://www.youtube.com/watch?v=TnwRD4LYDto,Don't Forget to Brush! 😁🪥,https://www.youtube.com/watch?v=WfHrYHh7cj8
8,PewDiePie,Gaming,Japan,2010.0,Apr,29.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,29581640464,110000000,False,4820,The greatest game of GeoGuessr..,https://www.youtube.com/watch?v=yzSBeCJfhkw,This Hit Different This Year… 🇸🇪,https://www.youtube.com/watch?v=MhRGfNkw3Vo,I'm DONE with Google,https://www.youtube.com/watch?v=u_Lxkt50xOg,This Trip Was NOT What We Planned,https://www.youtube.com/watch?v=4uqo-brP3xs,Presenting my Billion Dollar Plan...,https://www.youtube.com/watch?v=pgeTa1PV_40
9,Like Nastya,People & Blogs,Russia,2016.0,Jan,14.0,UCJplp5SjeGSdVdwsfb9Q7lQ,115104291340,129000000,False,973,Nastya and her friend learn healthy lifestyle,https://www.youtube.com/watch?v=HVPrMWKTd_Y,Nastya is getting ready for back to school with looks from @OldNavy #OldNavyPartner #AD,https://www.youtube.com/watch?v=IGWwl7B27X4,Nastya and Kids Learn Mall Safety Rules,https://www.youtube.com/watch?v=6QNpyX8fKjA,Nastya in the show Born to be Viral,https://www.youtube.com/watch?v=N0xcpomoHp8,Nastya takes care of little sister and her toy babies,https://www.youtube.com/watch?v=4MdR_BEAEFA
10,Vlad and Niki,Entertainment,United States,2018.0,Apr,23.0,UCvlE5gTbOvjiolFlEm-c_Ow,110579736537,143000000,False,929,No Wi Fi Challenge for kids with Chris,https://www.youtube.com/watch?v=Ks5B6wp8BOU,Kid pretends to be a parent for Uncle,https://www.youtube.com/watch?v=FIrMRgJQu-g,Fun Watermelon Adventure and other useful stories for kids,https://www.youtube.com/watch?v=hKtQsBUdo4o,Creative Cardboard School Adventure,https://www.youtube.com/watch?v=UAmqrySBUYo,Four Colors Water Balloons Challenge,https://www.youtube.com/watch?v=YSzHkw1h_Oc
11,Zee Music Company,Music,India,2014.0,Mar,12.0,UCFFbwnve3yF62-tVXkTyHqg,80181661198,119000000,False,14549,When your dil goes bawaria… 💖Groove to #Bawaria today! #dhadak2 #siddhant #triptiidimri #shorts,https://www.youtube.com/watch?v=8Rmje-rMg7Y,"When love overflows, it becomes music! 💙🎶 #Dhadak2 album out now – feel every beat! #shorts",https://www.youtube.com/watch?v=9inPVegtlDA,Ye Baarish | Baba Harshit & Deepali Babbar | Joy Chakraborty | Somit Jay Sharma,https://www.youtube.com/watch?v=hl8h9PMNQdE,Tenu Pta | Shatrunj | Musii | Latest Punjabi Song 2025,https://www.youtube.com/watch?v=1ssX78SlZZQ,Acting is a lot of GIVE & TAKE | Vikrant Massey & Shanaya Kapoor | Yashasvi | On Set Off Script,https://www.youtube.com/watch?v=V6N8T0TLa0I
