rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id
1,T-Series,Music,India,2006.0,Mar,13.0,UCq-Fj5jknLsUf-MWSy4_brA
2,YouTube Movies,Film & Animation,United States,2006.0,Mar,5.0,UClgRkhTL3_hImCAmdLfDE4g
3,MrBeast,Entertainment,United States,2012.0,Feb,20.0,UCX6OQ3DkcsbYNE6H8uQQuVA
4,Cocomelon - Nursery Rhymes,Education,United States,2006.0,Sep,1.0,UCbCmjCuTUZos6Inko4u57UQ
5,SET India,Shows,India,2006.0,Sep,20.0,UCpEhnqL0y41EpW2TvWAHD7Q
6,Music,,,2013.0,Sep,24.0,UCaCE5pzy49M8nQ59plgmFOA
7,ýýý Kids Diana Show,People & Blogs,United States,2015.0,May,12.0,UCk8GzjMOrta8yxDcKfylJYw
8,PewDiePie,Gaming,Japan,2010.0,Apr,29.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw
9,Like Nastya,People & Blogs,Russia,2016.0,Jan,14.0,UCJplp5SjeGSdVdwsfb9Q7lQ
10,Vlad and Niki,Entertainment,United States,2018.0,Apr,23.0,UCvlE5gTbOvjiolFlEm-c_Ow
11,Zee Music Company,Music,India,2014.0,Mar,12.0,UCFFbwnve3yF62-tVXkTyHqg
12,WWE,Sports,United States,2007.0,May,11.0,UCJ5v_MCY6GNUBTO8-D3XoAg
13,Gaming,,,2013.0,Dec,15.0,UCo0NaLsgPT6JrQLQGecpMyw
14,BLACKPINK,People & Blogs,South Korea,2016.0,Jun,29.0,UCOmHUn--16B90oW2L6FRR3A
15,Goldmines,Film & Animation,,2006.0,Aug,15.0,UCyoXW-Dse7fURq30EWl_CUA
16,Sony SAB,Shows,India,2007.0,Aug,4.0,UC6-F5tO8uklgE9Zy8IvbdFw
17,5-Minute Crafts,Howto & Style,United Kingdom,2020.0,Jul,27.0,UC295-Dw_tDNtZXFeAPAW6Aw
18,BANGTANTV,Music,South Korea,2012.0,Dec,17.0,UCLkAepWjdylmXSltofFvsYQ
19,Sports,,United States,2006.0,Jan,30.0,UCja8sZ2T4ylIqjggA1Zuukg
20,Justin Bieber,Music,Canada,2007.0,Jan,15.0,UCIwFjwMjI0y7PDBVEO9-bkQ
21,HYBE LABELS,Music,South Korea,2008.0,Jun,4.0,UC3IZKseVpdzPSBaWxBxundA
22,Zee TV,Entertainment,India,2005.0,Dec,11.0,UCppHT7SZKKvar4Oc9J4oljQ
23,Pinkfong Baby Shark - Kids' Songs & Stories,Education,United States,2011.0,Dec,14.0,UCcdwLMPsaU2ezNSJU1nFoBQ
24,Canal KondZilla,Music,Brazil,2012.0,Mar,21.0,UCffDXn7ycAzwL2LDlbyWOTw
25,ChuChu TV Nursery Rhymes & Kids Songs,Education,India,2013.0,Feb,9.0,UCBnZ16ahKA2DZ_T5W0FPUXg
26,Shemaroo Filmi Gaane,Music,India,2010.0,Jun,11.0,UCP6uH_XlsxrXwZQ4DlqbqPg
27,Colors TV,Shows,India,2008.0,Jun,13.0,UC55IWqFLDH1Xp7iu1_xknRA
28,T-Series Bhakti Sagar,Music,India,2018.0,Aug,3.0,UCaayLD9i5x4MmIoVZxXSv_g
29,Dude Perfect,Sports,United States,2009.0,Mar,17.0,UCRijo3ddMTht_IHyNSNXpNQ
30,Movieclips,Film & Animation,United States,2006.0,Apr,28.0,UC3gNmTGu-TTbFPpfSs5kNkg
31,Tips Official,Music,India,2007.0,May,22.0,UCJrDMFOdv1I2k8n9oK_V21w
32,El Reino Infantil,Music,Argentina,2011.0,Jun,2.0,UCK1i2UviaXLUNrZlAFpw_jA
33,Wave Music,Music,India,2014.0,Oct,29.0,UCbuK8xxu2P_sqoMnDsoBrrg
34,Aaj Tak,News & Politics,India,2009.0,Aug,27.0,UCt4t-jeY85JegMlZ-E5UWtA
35,Sony Music India,Music,India,2009.0,Sep,2.0,UC56gTxNs4f9xZ7Pa2i5xNzg
36,EminemMusic,Music,United States,2007.0,Feb,9.0,UCfM3zsQsOnfWNUppiycmBuw
37,Marshmello,Entertainment,United States,2015.0,Apr,6.0,UCEdvpU2pFRCVqU6yIPyTpMQ
38,YRF,Film & Animation,India,2006.0,Jun,7.0,UCbTLwN10NoCU4WDzLf1JMOA
39,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,,2016.0,Nov,29.0,UC4NALVCmcmL5ntpV0thoH6w
40,Ed Sheeran,Music,United Kingdom,2006.0,Aug,8.0,UC0C-w0YjGpqDXGB8IHb662A
41,Infobells - Hindi,Education,India,2014.0,Jun,6.0,UC1ciY6kR3yj3kaKZ6R7ewAg
42,Taylor Swift,Music,United States,2006.0,Sep,20.0,UCqECaJ8Gagnn7YCbPEzWH6g
43,Ariana Grande,Music,United States,2007.0,Jan,22.0,UC9CoOnJkIBMdeijd9qYoT_g
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,United States,2013.0,Oct,25.0,UCRx3mKNUdl8QE06nEug7p6Q
45,JuegaGerman,Gaming,Chile,2013.0,May,19.0,UCYiGq8XF7YQD00x7wAd62Zg
46,Billie Eilish,Music,United States,2013.0,Feb,6.0,UCiGm_E4ZwYSHV3bcW1pnSeQ
47,Get Movies,Entertainment,Russia,2006.0,Dec,16.0,UClZkHt2kNIgyrTTPnSQV3SA
48,Shemaroo,Entertainment,India,2007.0,Sep,1.0,UCF1JIbMUs6uqoZEY1Haw0GQ
49,Badabun,Entertainment,,2007.0,Jul,21.0,UCYWOjHweP2V-8kGKmmAmQJQ
50,SonyMusicIndiaVEVO,Music,United States,2009.0,Sep,2.0,UC3MLnJtqc_phABBriLRhtgQ
