rank,Youtuber,category,Country,created_year,created_month,created_date,channel_id,Total Views,Subscriber Count,Hidden Subscriber Count,Video Count,Recent Video 1 Title,Recent Video 1 URL,Recent Video 2 Title,Recent Video 2 URL,Recent Video 3 Title,Recent Video 3 URL,Recent Video 4 Title,Recent Video 4 URL,Recent Video 5 Title,Recent Video 5 URL
1,T-Series,Music,India,2006.0,Mar,13.0,UCq-Fj5jknLsUf-MWSy4_brA,305352555714,299000000,False,23986,Baba Bhole Baba (Lyrical Video): Akhil Sachdeva | Manoj Muntashir | Kunwar Anshith | Sawan Special,https://www.youtube.com/watch?v=ClTVyqgHfYw,"KHAIRIYAT 8K - BONUS TRACK | Sushant Singh Rajput, Shraddha Kapoor |Arijit Singh |Pritam |Chhichhore",https://www.youtube.com/watch?v=9pIXNy-pS10,"Missing You - Monsoon Mashup 2025 | Arijit Singh, Jubin Nautiyal, K.K. | Love Mashup | DJ Shadow",https://www.youtube.com/watch?v=M7clP5noNAs,Chandaniya😍🌙 - Ashish Chanchlani & Elli AvrRam😍 | Mithoon | Vishal Mishra | Sayeed Qadri,https://www.youtube.com/watch?v=SKnb3wMlkuA,"The Iconic Hook🔥 Dil Pe Chalai Churiya | Sonu Nigam | Raju Kalakar, Anjali, Rajan, Rishabh, Deepak",https://www.youtube.com/watch?v=iqgXeyS457Q
2,YouTube Movies,Film & Animation,United States,2006.0,Mar,5.0,UClgRkhTL3_hImCAmdLfDE4g,0,190000000,False,0,,,,,,,,,,
3,MrBeast,Entertainment,United States,2012.0,Feb,20.0,UCX6OQ3DkcsbYNE6H8uQQuVA,91069136189,416000000,False,886,Jet Engine vs Human for $10k,https://www.youtube.com/watch?v=EiFcNbXBqeo,"Survive 100 Days Trapped In A Private Jet, Keep It",https://www.youtube.com/watch?v=pzBi1nwDn8U,I Met Neymar,https://www.youtube.com/watch?v=R7oW0LwS_e4,I Raced A Cheetah,https://www.youtube.com/watch?v=BfKI_TQnQvo,World's Fastest Car Vs Cheetah!,https://www.youtube.com/watch?v=FWAdfuPpLOc
4,Cocomelon - Nursery Rhymes,Education,United States,2006.0,Sep,1.0,UCbCmjCuTUZos6Inko4u57UQ,206096953425,195000000,False,1634,Count the Toy Ice Cream Tower! 😋🍦,https://www.youtube.com/watch?v=P_x6qJducPA,High Five Song! JJ's Summer Waterpark Splash! 🌊 | CoComelon Nursery Rhymes & Kids Songs,https://www.youtube.com/watch?v=XZ_J-X4asck,CoComelon PUZZLE CHALLENGE! 🧩 Kids Crafts!,https://www.youtube.com/watch?v=vAlSI30X0mk,Making Ice Cream! 🍦 Kids Education,https://www.youtube.com/watch?v=u4uIK587Ngo,JJ Get's a Boo-Boo! 😢🤳 FaceTime with CoComelon!,https://www.youtube.com/watch?v=E8OYFtH2OVk
5,SET India,Shows,India,2006.0,Sep,20.0,UCpEhnqL0y41EpW2TvWAHD7Q,179713320247,185000000,False,157424,Rishabh ने की एक मजबूर आदमी की Help | Bade Achhe Lagte Hai | New Season | Best Moments,https://www.youtube.com/watch?v=_n_8XfUExUI,Aami Dakini | Ep 21 & 22 | RECAP | आमि डाकिनी,https://www.youtube.com/watch?v=GvBr7_9-RTo,Bahubali Case के चक्कर में Police Inspector ने क्यों किया Resign? | Crime Patrol | Inspector Series,https://www.youtube.com/watch?v=Mw96kP2iXOw,Rohan ने गाया Pawandeep के लिए 'Joru Ka Ghulam' Song | Superstar Singer 2 | Voice Of Rohan,https://www.youtube.com/watch?v=wRUK6qU4cm0,Bade Achhe Lagte Hai - New Season - Ep 29 - Coming Up Next - बड़े अच्छे लगते हैं - नया सीजन,https://www.youtube.com/watch?v=hP_A8e2BCBI
6,Music,,,2013.0,Sep,24.0,UCaCE5pzy49M8nQ59plgmFOA,365614833,887000,False,960,Wednesday Morning Jazz - Sweet November Bossa Nova and Jazz Music,https://www.youtube.com/watch?v=N7JFxMi_U8c,Wednesday Morning Jazz - Bossa Nova and Jazz Music for Autumn Morning,https://www.youtube.com/watch?v=ZRHJ680Taa0,Monday Morning Jazz - September Jazz & Bossa Nova Music for Good Day,https://www.youtube.com/watch?v=zEA8mZ88euI,Tuesday Morning Jazz - Positive Jazz and Bossa Nova Music for Relaxing Day,https://www.youtube.com/watch?v=XTbL95edcEQ,Tuesday Morning Jazz - Happy Jazz & Bossa Nova Music for Good Day,https://www.youtube.com/watch?v=AYJHwGhQjKo
7,ýýý Kids Diana Show,People & Blogs,United States,2015.0,May,12.0,UCk8GzjMOrta8yxDcKfylJYw,117493480591,135000000,False,1392,Diana’s Color Game with Oliver 🎨,https://www.youtube.com/watch?v=7WqYqmN9uHc,Glam Girlz Mission to Cheer Up a Sad Child,https://www.youtube.com/watch?v=lQ4IHMFgCA0,When your Train has only 1 Toilet - Railway Safety Rules,https://www.youtube.com/watch?v=ASq2sGlPF14,Roma Learns to Sort Trash,https://www.youtube.com/watch?v=5bGCEmPK8BA,Drive-In Movie Theater,https://www.youtube.com/watch?v=QoUdYdgtg0E
8,PewDiePie,Gaming,Japan,2010.0,Apr,29.0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,29573996120,110000000,False,4819,This Hit Different This Year… 🇸🇪,https://www.youtube.com/watch?v=MhRGfNkw3Vo,I'm DONE with Google,https://www.youtube.com/watch?v=u_Lxkt50xOg,This Trip Was NOT What We Planned,https://www.youtube.com/watch?v=4uqo-brP3xs,Presenting my Billion Dollar Plan...,https://www.youtube.com/watch?v=pgeTa1PV_40,Cycle across Japan!,https://www.youtube.com/watch?v=qGXtMENJDps
9,Like Nastya,People & Blogs,Russia,2016.0,Jan,14.0,UCJplp5SjeGSdVdwsfb9Q7lQ,114687357488,129000000,False,968,Nastya is dancing #shortsdance,https://www.youtube.com/watch?v=ytQuVWODf2g,Nastya chooses a prince for the royal ball,https://www.youtube.com/watch?v=OATbYWIi8a8,Nastya and Evelyn #trending,https://www.youtube.com/watch?v=2bGaUf80z60,Nastya turns into superheroes because of a magic toy,https://www.youtube.com/watch?v=29eP-B3HXww,Nastya and funny trendy #shortvideo,https://www.youtube.com/watch?v=4W6ZEMXQwAs
10,Vlad and Niki,Entertainment,United States,2018.0,Apr,23.0,UCvlE5gTbOvjiolFlEm-c_Ow,110065432923,143000000,False,925,Four Colors Water Balloons Challenge,https://www.youtube.com/watch?v=YSzHkw1h_Oc,Funny Babies Masks stories with Chris,https://www.youtube.com/watch?v=sU87yk6CBQQ,Kids Jump through the wall,https://www.youtube.com/watch?v=naMLLJXHi9M,Kids learn road safety and traffic rules,https://www.youtube.com/watch?v=YiX-qeLkgrk,Funny Kids Adventures with Magic Faucet,https://www.youtube.com/watch?v=Ii4grx0h5Ss
11,Zee Music Company,Music,India,2014.0,Mar,12.0,UCFFbwnve3yF62-tVXkTyHqg,79703545422,119000000,False,14457,Create your own #Shorts on Bas Ek Dhadak and share your Dhadak moment 💗,https://www.youtube.com/watch?v=2BNxRDk4gCc,Create your own #Shorts on Bas Ek Dhadak and share your Dhadak moment 💗,https://www.youtube.com/watch?v=dgBrk_exvgg,Create your own #Shorts on Bas Ek Dhadak and share your Dhadak moment 💗,https://www.youtube.com/watch?v=hlAA0Czpe1c,Create your own #Shorts on Bas Ek Dhadak and share your Dhadak moment 💗,https://www.youtube.com/watch?v=WuRBMGoIA6M,Darshan Raval pouring his soul into #PreetRe - a melody of love #Shorts #Dhadak2,https://www.youtube.com/watch?v=50AadFrvH8E
12,WWE,Sports,United States,2007.0,May,11.0,UCJ5v_MCY6GNUBTO8-D3XoAg,96555829474,110000000,False,86473,"Top 10 WWE NXT moments: WWE Top 10, July 22, 2025",https://www.youtube.com/watch?v=PCJHleS-BUA,We rate this a 10/10 🔥🇮🇪,https://www.youtube.com/watch?v=GuaD9vQRAaU,Julius Creed and Brutus Creed are absolute MACHINES 💪🤖,https://www.youtube.com/watch?v=tmF5R4Opnek,Tomorrow! Shawn Michaels joins Six Feet Under,https://www.youtube.com/watch?v=GV2g5kSl030,WE ARE SO BACK 👏👏👏,https://www.youtube.com/watch?v=mBZKoUGdML8
13,Gaming,,,2013.0,Dec,15.0,UCo0NaLsgPT6JrQLQGecpMyw,429457991,1150000,False,322,"WORM MONSTER in the BACKYARD!!  Dig for Treasure, Gold, and Rainbow Gems in Roblox with Adley & Niko",https://www.youtube.com/watch?v=L9iw5t00LC0,MERMAiDS in DRESS to iMPRESS!? Adley & Navey try NEW SUMMER UPDATE! Winning the special round w/ Dad,https://www.youtube.com/watch?v=O_q-oOlCyyw,"PUPPET MASTER vs ADLEY and NiKO!! a Magic Family Quest to collect pets, get gear, level up and learn",https://www.youtube.com/watch?v=wKbQpgKUa94,ALL NiGHT GAMiNG PARTY!! can we stay awake? Adley Niko & Navey surprise Dad with Roblox family fun,https://www.youtube.com/watch?v=17DNWfPkjGk,MOM HAS A BABY but in ROBLOX?!  Adley helps deliver a little brother Niko! Family votes for Nick KCA,https://www.youtube.com/watch?v=UxJMNwFLMME
14,BLACKPINK,People & Blogs,South Korea,2016.0,Jun,29.0,UCOmHUn--16B90oW2L6FRR3A,39157806906,98000000,False,622,BLACKPINK WORLD TOUR [DEADLINE] IN CHICAGO ✨ #BLACKPINK #WORLDTOUR #DEADLINE #DEADLINE_IN_CHICAGO,https://www.youtube.com/watch?v=YOy_-1ukMIY,‘뛰어(JUMP)’ with 리사 #BLACKPINK #블랙핑크 #LISA #리사 #뛰어 #JUMP #shorts,https://www.youtube.com/watch?v=PNZ6_9hgDmo,‘뛰어(JUMP)’ with 로제 #BLACKPINK #블랙핑크 #ROSÉ #로제 #뛰어 #JUMP #shorts,https://www.youtube.com/watch?v=C7D70HFOEwg,BLACKPINK - ‘뛰어(JUMP)’ M/V Behind the Scenes,https://www.youtube.com/watch?v=OIT4-nkQVyo,BLACKPINK - NEW OFFICIAL LIGHT STICK SPECIAL EDITION 🩷,https://www.youtube.com/watch?v=JBkVSQ6wMVI
15,Goldmines,Film & Animation,,2006.0,Aug,15.0,UCyoXW-Dse7fURq30EWl_CUA,30477982038,106000000,False,11045,Srinivasa Reddy Ne Office Ka WiFi Bandh Kar Diya #JambaLakidiPamba #SrinivasaReddy #SiddhiIdnani,https://www.youtube.com/watch?v=N1Cgvh5gJyg,एक आँख वाले राक्षस और विजय का धमाकेदार सीन,https://www.youtube.com/watch?v=fFfLwjCTTpQ,अल्लू अर्जुन की हिम्मत तो देखो सीधा MLA के घर में घुसकर उसे प्रोपोज़ कर दिया,https://www.youtube.com/watch?v=Lrw6paHgxvY,Soori Iss Adami Ko Kali Zaban Wale Aadmi Bol Raha Hai #Soori #ShivaKaBadla #Vishal #Shorts,https://www.youtube.com/watch?v=1yKnh8KqJao,तुम्हारी सफ़ाई और धुलाई मेरे हाथों में लिखी है,https://www.youtube.com/watch?v=s9AZ8UnXiZw
