rank,Youtuber,category,Country,created_year,created_month,created_date
1,T-Series,Music,India,2006.0,Mar,13.0
2,YouTube Movies,Film & Animation,United States,2006.0,Mar,5.0
3,MrBeast,Entertainment,United States,2012.0,Feb,20.0
4,Cocomelon - Nursery Rhymes,Education,United States,2006.0,Sep,1.0
5,SET India,Shows,India,2006.0,Sep,20.0
6,Music,,,2013.0,Sep,24.0
7,ýýý Kids Diana Show,People & Blogs,United States,2015.0,May,12.0
8,PewDiePie,Gaming,Japan,2010.0,Apr,29.0
9,Like Nastya,People & Blogs,Russia,2016.0,Jan,14.0
10,Vlad and Niki,Entertainment,United States,2018.0,Apr,23.0
11,Zee Music Company,Music,India,2014.0,Mar,12.0
12,WWE,Sports,United States,2007.0,May,11.0
13,Gaming,,,2013.0,Dec,15.0
14,BLACKPINK,People & Blogs,South Korea,2016.0,Jun,29.0
15,Goldmines,Film & Animation,,2006.0,Aug,15.0
16,Sony SAB,Shows,India,2007.0,Aug,4.0
17,5-Minute Crafts,Howto & Style,United Kingdom,2020.0,Jul,27.0
18,BANGTANTV,Music,South Korea,2012.0,Dec,17.0
19,Sports,,United States,2006.0,Jan,30.0
20,Justin Bieber,Music,Canada,2007.0,Jan,15.0
21,HYBE LABELS,Music,South Korea,2008.0,Jun,4.0
22,Zee TV,Entertainment,India,2005.0,Dec,11.0
23,Pinkfong Baby Shark - Kids' Songs & Stories,Education,United States,2011.0,Dec,14.0
24,Canal KondZilla,Music,Brazil,2012.0,Mar,21.0
25,ChuChu TV Nursery Rhymes & Kids Songs,Education,India,2013.0,Feb,9.0
26,Shemaroo Filmi Gaane,Music,India,2010.0,Jun,11.0
27,Colors TV,Shows,India,2008.0,Jun,13.0
28,T-Series Bhakti Sagar,Music,India,2018.0,Aug,3.0
29,Dude Perfect,Sports,United States,2009.0,Mar,17.0
30,Movieclips,Film & Animation,United States,2006.0,Apr,28.0
31,Tips Official,Music,India,2007.0,May,22.0
32,El Reino Infantil,Music,Argentina,2011.0,Jun,2.0
33,Wave Music,Music,India,2014.0,Oct,29.0
34,Aaj Tak,News & Politics,India,2009.0,Aug,27.0
35,Sony Music India,Music,India,2009.0,Sep,2.0
36,EminemMusic,Music,United States,2007.0,Feb,9.0
37,Marshmello,Entertainment,United States,2015.0,Apr,6.0
38,YRF,Film & Animation,India,2006.0,Jun,7.0
39,LooLoo Kids - Nursery Rhymes and Children's Songs,Music,,2016.0,Nov,29.0
40,Ed Sheeran,Music,United Kingdom,2006.0,Aug,8.0
41,Infobells - Hindi,Education,India,2014.0,Jun,6.0
42,Taylor Swift,Music,United States,2006.0,Sep,20.0
43,Ariana Grande,Music,United States,2007.0,Jan,22.0
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,Education,United States,2013.0,Oct,25.0
45,JuegaGerman,Gaming,Chile,2013.0,May,19.0
46,Billie Eilish,Music,United States,2013.0,Feb,6.0
47,Get Movies,Entertainment,Russia,2006.0,Dec,16.0
48,Shemaroo,Entertainment,India,2007.0,Sep,1.0
49,Badabun,Entertainment,,2007.0,Jul,21.0
50,SonyMusicIndiaVEVO,Music,United States,2009.0,Sep,2.0
51,A4,Gaming,Cuba,2006.0,Mar,11.0
52,Bad Bunny,Music,,2005.0,Nov,15.0
53,Fernanfloo,Gaming,El Salvador,2011.0,May,2.0
54,Voot Kids,Entertainment,India,2016.0,Nov,23.0
55,Felipe Neto,Entertainment,Brazil,2006.0,May,16.0
56,Vocï¿½ï¿½ï¿½,Entertainment,Brazil,2013.0,Sep,1.0
57,HAR PAL GEO,Entertainment,Pakistan,2008.0,Jan,2.0
58,BRIGHT SIDE,Howto & Style,,2005.0,Nov,18.0
59,Katy Perry,Music,United States,2008.0,Jun,1.0
60,whinderssonnunes,Comedy,Brazil,2013.0,Jan,21.0
61,ABS-CBN Entertainment,People & Blogs,Philippines,2008.0,Jul,16.0
62,Alan Walker,Music,Thailand,2006.0,May,12.0
63,HolaSoyGerman.,Entertainment,,2016.0,May,27.0
64,Shakira,People & Blogs,Colombia,2005.0,Oct,16.0
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,Film & Animation,Russia,2011.0,May,31.0
66,ARY Digital HD,Entertainment,Pakistan,2016.0,Jul,11.0
67,Speed Records,Music,India,2012.0,Nov,22.0
68,Masha and The Bear,Shows,United States,2014.0,Sep,17.0
69,Like Nastya Show,Entertainment,United States,2017.0,Nov,14.0
70,Rihanna,Entertainment,Barbados,2005.0,Nov,6.0
71,Ishtar Music,Trailers,India,2005.0,Sep,22.0
72,Kimberly Loaiza,People & Blogs,Mexico,2016.0,Nov,16.0
73,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,United States,2011.0,Jun,22.0
74,Luisito Comunica,Comedy,Mexico,2010.0,Jun,18.0
75,elrubiusOMG,Gaming,,2011.0,Dec,20.0
76,Toys and Colors,Entertainment,,2018.0,Jun,14.0
77,shfa2 - ï¿½ï¿½,People & Blogs,United Arab Emirates,2017.0,Nov,6.0
78,LUCCAS NETO - LUCCAS TOON,People & Blogs,,2021.0,Mar,25.0
79,CarryMinati,Comedy,India,2014.0,Oct,30.0
80,XXXTENTACION,Music,United States,2015.0,Jun,23.0
81,Super Simple Songs - Kids Songs,Education,Canada,2006.0,Sep,8.0
82,Mikecrack,Gaming,Spain,2015.0,Jul,13.0
83,WorkpointOfficial,Entertainment,Thailand,2012.0,Nov,5.0
