Youtuber,Video Title,NEGATIVE,NEUTRAL,POSITIVE
MrBeast,Guess What Hit You,0.38600000739097595,0.5073999762535095,0.10660000145435333
MrBeast,$1  = One Year of Clean Water,0.01209999993443489,0.3921999931335449,0.59579998254776
MrBeast,"2,000,000 People Get Clean Water For The First Time!",0.007199999876320362,0.1680999994277954,0.8246999979019165
MrBeast,"Don’t Turn Around, Win $10k",0.2630000114440918,0.45719999074935913,0.2797999978065491
MrBeast,Subscribe To Explode The TNT,0.11190000176429749,0.36309999227523804,0.5249999761581421
Cocomelon - Nursery Rhymes,Creating a Cardboard Melonhead! 😲 #cocomelon #kids #crafts,0.3522000014781952,0.6247000098228455,0.023099999874830246
Cocomelon - Nursery Rhymes,The Muffin Man! Super Hero Rescue 🦸 | CoComelon Nursery Rhymes & Kids Songs,0.3522000014781952,0.6247000098228455,0.023099999874830246
Cocomelon - Nursery Rhymes,Wash Your hand With us! 🫧👏🫧 Tutorial for Kids,0.3522000014781952,0.6247000098228455,0.023099999874830246
Cocomelon - Nursery Rhymes,Fishing for ABCs 🎣 #cocomelon #shorts,0.3522000014781952,0.6247000098228455,0.023099999874830246
Cocomelon - Nursery Rhymes,Making Mini Origami Characters 😍 Cute Kids Crafts,0.3522000014781952,0.6247000098228455,0.023099999874830246
SET India,Pihu की आवाज़ में 'Ladki Badi Anjani' सुनकर Vicky को मिला सुकून | Superstar Singer 3 | Voice Of Pihu,0.3522000014781952,0.6247000098228455,0.023099999874830246
SET India,Bade Achhe Lagte Hai - New Season - Ep 39 - Coming Up Next - बड़े अच्छे लगते हैं - नया सीजन,0.3522000014781952,0.6247000098228455,0.023099999874830246
SET India,NEW! Bade Achhe Lagte Hai | New Season | Ep 30 | 25 July 2025 | Teaser,0.3522000014781952,0.6247000098228455,0.023099999874830246
SET India,एक औरत की Greed ने तबाह की पूरी Family की ज़िन्दगी | Crime Patrol Satark | Khatarnak Kisse,0.3522000014781952,0.6247000098228455,0.023099999874830246
SET India,Bhagyashree Ne Purab Ko Kaha Gunda | Bade Achhe Lagte Hai | New Season | #badeachhelagtehai,0.3522000014781952,0.6247000098228455,0.023099999874830246
Music,「無廣告版」一杯茶一本書 ❤ 舒服音樂陪我度過一整天 ~ TEA & BOOK ❤ RELAX MUSIC FOR STUDYING & WORKING,0.3522000014781952,0.6247000098228455,0.023099999874830246
Music,「無廣告版」淡淡純鋼琴～享受讀書 & 工作的時間 ❤ Beautiful Relax Music for Studying & Working,0.3522000014781952,0.6247000098228455,0.023099999874830246
Music,[無廣告版] 放鬆＆專心讀書. 工作音樂   5Hrs  RELAXING SOLO GUITAR  - STUDY MUSIC,0.015599999576807022,0.546999990940094,0.4374000132083893
Music,「無廣告版」一個人靜靜聽音樂～唯美鋼琴讀書音樂 - Music For Studying - Beautiful Piano,0.018799999728798866,0.8355000019073486,0.14560000598430634
Music,「無廣告版」把大自然帶進家中~ 森林系音樂 ☕ 純淨鋼琴讀書＆工作音樂 Relax Piano ＆ forest nature ambience,0.027000000700354576,0.8482999801635742,0.12470000237226486
ýýý Kids Diana Show,Magic Washing Machine Makes Balloons!,0.004800000227987766,0.06239999830722809,0.9327999949455261
ýýý Kids Diana Show,Oliver at the Safari! Fun & Educational Adventures for Kids,0.0035000001080334187,0.08810000121593475,0.9083999991416931
ýýý Kids Diana Show,Oliver Forgot to Turn Off the Hose! 💧🌸 Diana Teaches a Lesson,0.24060000479221344,0.33970001339912415,0.4196999967098236
ýýý Kids Diana Show,Kids Learn Good Habits — Mobile Phone Jail Adventure,0.13210000097751617,0.44769999384880066,0.420199990272522
ýýý Kids Diana Show,Don't Forget to Brush! 😁🪥,0.33489999175071716,0.49239999055862427,0.17270000278949738
PewDiePie,The greatest game of GeoGuessr..,0.1860000044107437,0.6401000022888184,0.17399999499320984
PewDiePie,This Hit Different This Year… 🇸🇪,0.035999998450279236,0.15489999949932098,0.8090999722480774
PewDiePie,I'm DONE with Google,0.48350000381469727,0.4300999939441681,0.08630000054836273
PewDiePie,This Trip Was NOT What We Planned,0.04399999976158142,0.2727000117301941,0.6833000183105469
PewDiePie,Presenting my Billion Dollar Plan...,0.020400000736117363,0.32030001282691956,0.6593000292778015
Like Nastya,Nastya and her friend learn healthy lifestyle,0.4187000095844269,0.4250999987125397,0.15620000660419464
Like Nastya,Nastya is getting ready for back to school with looks from @OldNavy #OldNavyPartner #AD,0.0038999998942017555,0.01850000023841858,0.9775999784469604
Like Nastya,Nastya and Kids Learn Mall Safety Rules,0.009399999864399433,0.18170000612735748,0.808899998664856
Like Nastya,Nastya in the show Born to be Viral,0.0044999998062849045,0.06199999898672104,0.9334999918937683
Like Nastya,Nastya takes care of little sister and her toy babies,0.007600000128149986,0.12700000405311584,0.8652999997138977
Vlad and Niki,No Wi Fi Challenge for kids with Chris,0.008500000461935997,0.2648000121116638,0.7267000079154968
Vlad and Niki,Kid pretends to be a parent for Uncle,0.032099999487400055,0.5070000290870667,0.4609000086784363
Vlad and Niki,Fun Watermelon Adventure and other useful stories for kids,0.0038999998942017555,0.07729999721050262,0.9187999963760376
Vlad and Niki,Creative Cardboard School Adventure,0.0066999997943639755,0.035999998450279236,0.9573000073432922
Vlad and Niki,Four Colors Water Balloons Challenge,0.002400000113993883,0.09709999710321426,0.9003999829292297
Zee Music Company,When your dil goes bawaria… 💖Groove to #Bawaria today! #dhadak2 #siddhant #triptiidimri #shorts,0.3522000014781952,0.6247000098228455,0.023099999874830246
Zee Music Company,"When love overflows, it becomes music! 💙🎶 #Dhadak2 album out now – feel every beat! #shorts",0.3522000014781952,0.6247000098228455,0.023099999874830246
Zee Music Company,Ye Baarish | Baba Harshit & Deepali Babbar | Joy Chakraborty | Somit Jay Sharma,0.3522000014781952,0.6247000098228455,0.023099999874830246
Zee Music Company,Tenu Pta | Shatrunj | Musii | Latest Punjabi Song 2025,0.3522000014781952,0.6247000098228455,0.023099999874830246
Zee Music Company,Acting is a lot of GIVE & TAKE | Vikrant Massey & Shanaya Kapoor | Yashasvi | On Set Off Script,0.3522000014781952,0.6247000098228455,0.023099999874830246
WWE,Becky Lynch was WRONG for this... 💀💀💀,0.3522000014781952,0.6247000098228455,0.023099999874830246
WWE,Dominik Mysterio celebrates 20-year anniversary: SummerSlam 2025 Vlog,0.047200001776218414,0.20970000326633453,0.7430999875068665
WWE,Brock Lesnar Shocks the WWE Universe with SummerSlam return | Full Results: WWE Now India,0.3522000014781952,0.6247000098228455,0.023099999874830246
WWE,Paul Heyman’s eyes almost fell out of his head when Roman Reigns’ music hit 😌😳💀,0.3522000014781952,0.6247000098228455,0.023099999874830246
WWE,FULL MATCH: Roman Reigns vs. Erick Rowan | No Disqualification Match: WWE Clash of Champions 2019,0.017500000074505806,0.8909000158309937,0.09160000085830688
BLACKPINK,BLACKPINK WORLD TOUR [DEADLINE] IN PARIS 🌷 #BLACKPINK #WORLDTOUR #DEADLINE #DEADLINE_IN_PARIS,0.006099999882280827,0.38670000433921814,0.6072999835014343
BLACKPINK,BLACKPINK WORLD TOUR [DEADLINE] IN NEW YORK 🗽 #BLACKPINK #WORLDTOUR #DEADLINE #DEADLINE_IN_NEWYORK,0.3522000014781952,0.6247000098228455,0.023099999874830246
BLACKPINK,BLACKPINK - '뛰어(JUMP)' Live at WORLD TOUR [DEADLINE] IN GOYANG,0.35760000348091125,0.4584999978542328,0.18389999866485596
BLACKPINK,BLACKPINK WORLD TOUR [DEADLINE] IN TORONTO 🍁 #BLACKPINK #WORLDTOUR #DEADLINE #DEADLINE_IN_TORONTO,0.28600001335144043,0.6315000057220459,0.08250000327825546
BLACKPINK,BLACKPINK WORLD TOUR [DEADLINE] IN CHICAGO ✨ #BLACKPINK #WORLDTOUR #DEADLINE #DEADLINE_IN_CHICAGO,0.3522000014781952,0.6247000098228455,0.023099999874830246
Goldmines,Kajal Aggarwal Maa Ke Saath Dhanush Se Sorry Bolne Aati Hai#Dhanush #KajalAggarwal #RowdyHero #Maari,0.3522000014781952,0.6247000098228455,0.023099999874830246
Goldmines,ब्रह्मानंदम गाँव आने के लिए राम पोथीनेनी को फ़ोन करता है,0.3522000014781952,0.6247000098228455,0.023099999874830246
Goldmines,अल्लू अर्जुन नहीं मिलने दे रहा है वेनेला किशोर को उसकी होने वाली बीवी से,0.3522000014781952,0.6247000098228455,0.023099999874830246
Goldmines,आधी पिनिसेट्टी इन तीनों से पोस्टमॉर्टम रिपोर्ट के बारे में पूछताछ करता है,0.3522000014781952,0.6247000098228455,0.023099999874830246
Goldmines,ब्रह्मानंदम रवि तेजा और वेनेला किशोर की मौत को कॉल लगा रहा है | साउथ बेस्ट कॉमेडी सीन,0.3522000014781952,0.6247000098228455,0.023099999874830246
Sony SAB,Pushpa Impossible | पुष्पा इंपासिबल | Ep 992 | Coming Up Next,0.3522000014781952,0.6247000098228455,0.023099999874830246
Sony SAB,NEW! Pushpa Impossible | Ep 991 | 6 Aug 2025 | Teaser,0.3522000014781952,0.6247000098228455,0.023099999874830246
Sony SAB,Court Mein Shaadi | Wagle Ki Duniya | Ep 1357 | Full Episode | 4 Aug 2025,0.3522000014781952,0.6247000098228455,0.023099999874830246
Sony SAB,"Itti Si Khushi | Sneak Peak- Fridge | Starts 18th Aug, 9 PM | New Launch | Sony SAB",0.3522000014781952,0.6247000098228455,0.023099999874830246
Sony SAB,"Itti Si Khushi | Starts 18th Aug, 9 PM | New Launch | Sony SAB",0.3522000014781952,0.6247000098228455,0.023099999874830246
5-Minute Crafts,🍉 HOW TO MAKE QUICK SUMMER DESSERTS 🍧🌞 Fun & Tasty Recipes!,0.01140000019222498,0.23070000112056732,0.7578999996185303
5-Minute Crafts,🎨 WANT TO GET CRAFTY? Try These DIY Art & Craft Ideas Anyone Can Make! 💖🤩,0.07670000195503235,0.7533000111579895,0.17000000178813934
5-Minute Crafts,ADORABLE CRAFTS EVER! 🌸 Easy & Fun DIY Home Decor Ideas 🛋️✨,0.1420000046491623,0.6894999742507935,0.16850000619888306
5-Minute Crafts,EASY PEEL & CUT VEGGIES! 🥕🌟 Must-Try Kitchen Hacks & Gadgets! 🍽️,0.01899999938905239,0.8259000182151794,0.1551000028848648
5-Minute Crafts,🌈 RAINBOW COOKING HACKS! Tasty Ideas for Bright & Fun Meals 🥞🍬,0.28189998865127563,0.5846999883651733,0.13330000638961792
BANGTANTV,[BANGTAN BOMB] j-hope’s SUMMER SWAG Sketch - BTS (방탄소년단),0.004000000189989805,0.20679999887943268,0.7892000079154968
BANGTANTV,‘#RUNSEOKJIN_epTOUR in NEWARK’ Background🎬 #공연전_백스테이지에서_석진이 🐹🐟👀 #진 #Jin #BTS #방탄소년단 #Jin_TOUR_US,0.3522000014781952,0.6247000098228455,0.023099999874830246
BANGTANTV,진 (Jin) ‘RUNSEOKJIN_EP.TOUR’ in AMSTERDAM: LIVE VIEWING Tickets are Available,0.3522000014781952,0.6247000098228455,0.023099999874830246
BANGTANTV,‘#RUNSEOKJIN_epTOUR in TAMPA’ Background🎬 #공연전_운동하는_석진이💪🐹 #진 #Jin #BTS #방탄소년단 #Jin_TOUR_US,0.009399999864399433,0.4359999895095825,0.5546000003814697
BANGTANTV,‘#RUNSEOKJIN_epTOUR in DALLAS’ Background🎬 #석진이의_오늘의_BEST_PICK👍🌟 #진 #Jin #BTS #방탄소년단 #Jin_TOUR_US,0.002199999988079071,0.03680000081658363,0.9610999822616577
Sports,"Dallas Cowboys Training Camp UPDATE: CeeDee Lamb Shines, O-Line Struggles, & Dak Looking Sharp! 🏈",0.2556999921798706,0.6926000118255615,0.051600001752376556
Sports,Turf almost took him out 😂 #shorts #baseball,0.010200000368058681,0.7506999969482422,0.23909999430179596
Sports,“Vazquez sets up at Ford Field” 😂😂 #shorts,0.040300000458955765,0.830299973487854,0.12939999997615814
Sports,Nabers has had some UNREAL catches #shorts,0.1687999963760376,0.49549999833106995,0.33570000529289246
Sports,The rookie kicker has been perfect in practice #shorts #nfl,0.3522000014781952,0.6247000098228455,0.023099999874830246
Justin Bieber,Justin Bieber - YUKON,0.3522000014781952,0.6247000098228455,0.023099999874830246
Justin Bieber,"Justin Bieber, Sexyy Red - SWEET SPOT (Audio)",0.3522000014781952,0.6247000098228455,0.023099999874830246
Justin Bieber,"Justin Bieber, Dijon - DEVOTION (Audio)",0.3522000014781952,0.6247000098228455,0.023099999874830246
Justin Bieber,"Justin Bieber, Druski - THERAPY SESSION (Audio)",0.3522000014781952,0.6247000098228455,0.023099999874830246
Justin Bieber,Justin Bieber - GO BABY (Audio),0.3522000014781952,0.6247000098228455,0.023099999874830246
HYBE LABELS,[HYBE MUSIC GROUP AUDITION] Message From TWS,0.3522000014781952,0.6247000098228455,0.023099999874830246
